1,1,1700.00,391.00,156.00,337.00,1.00,-1.00,-1.00,-1.00
1,2,250.00,456.00,107.00,248.00,1.00,-1.00,-1.00,-1.00
1,3,1255.00,539.00,60.00,118.00,1.00,-1.00,-1.00,-1.00
1,4,1288.00,459.00,73.00,199.00,1.00,-1.00,-1.00,-1.00
1,5,120.00,504.00,93.00,239.00,1.00,-1.00,-1.00,-1.00
1,6,0.00,243.00,110.00,666.00,1.00,-1.00,-1.00,-1.00
1,7,1885.00,369.00,35.00,213.00,1.00,-1.00,-1.00,-1.00
2,1,1689.00,390.00,163.00,338.00,1.00,-1.00,-1.00,-1.00
2,2,262.00,456.00,96.00,250.00,1.00,-1.00,-1.00,-1.00
2,3,1257.00,538.00,59.00,120.00,1.00,-1.00,-1.00,-1.00
2,4,1291.00,461.00,71.00,197.00,1.00,-1.00,-1.00,-1.00
2,5,119.00,503.00,83.00,240.00,1.00,-1.00,-1.00,-1.00
2,6,0.00,247.00,114.00,662.00,1.00,-1.00,-1.00,-1.00
2,7,1884.00,370.00,35.00,208.00,1.00,-1.00,-1.00,-1.00
3,1,1686.00,389.00,163.00,340.00,1.00,-1.00,-1.00,-1.00
3,2,262.00,456.00,97.00,251.00,1.00,-1.00,-1.00,-1.00
3,3,1260.00,538.00,56.00,120.00,1.00,-1.00,-1.00,-1.00
3,4,1294.00,460.00,68.00,198.00,1.00,-1.00,-1.00,-1.00
3,5,116.00,503.00,87.00,240.00,1.00,-1.00,-1.00,-1.00
3,6,0.00,282.00,119.00,626.00,1.00,-1.00,-1.00,-1.00
3,7,1882.00,368.00,37.00,206.00,1.00,-1.00,-1.00,-1.00
4,1,1684.00,390.00,162.00,341.00,1.00,-1.00,-1.00,-1.00
4,2,262.00,456.00,97.00,251.00,1.00,-1.00,-1.00,-1.00
4,3,1263.00,539.00,54.00,121.00,1.00,-1.00,-1.00,-1.00
4,4,1296.00,460.00,67.00,199.00,1.00,-1.00,-1.00,-1.00
4,5,117.00,503.00,89.00,241.00,1.00,-1.00,-1.00,-1.00
4,6,0.00,257.00,125.00,652.00,1.00,-1.00,-1.00,-1.00
4,7,1880.00,358.00,39.00,219.00,1.00,-1.00,-1.00,-1.00
5,1,1686.00,389.00,159.00,344.00,1.00,-1.00,-1.00,-1.00
